 format: day,hour,forecast,value  location:59_76 Start : 20230701 
 1,1100,+34,106.000000 
 1,1100,+35,120.000000 
 1,1100,+36,142.000000 
 1,1100,+37,163.000000 
 1,1100,+38,142.000000 
 1,1100,+39,129.000000 
 1,1100,+40,146.000000 
 1,1100,+41,163.000000 
 1,1100,+42,163.000000 
 1,1100,+43,155.000000 
 1,1100,+44,147.000000 
 1,1100,+45,147.000000 
 1,1100,+46,148.000000 
 1,1100,+47,153.000000 
 1,1100,+48,162.000000 
 1,1100,+49,151.000000 
 1,1100,+50,143.000000 
 1,1100,+51,132.000000 
 1,1100,+52,133.000000 
 1,1100,+53,137.000000 
 1,1100,+54,137.000000 
 1,1100,+55,139.000000 
 1,1100,+56,142.000000 
 1,1100,+57,146.000000 
 1,1100,+58,132.000000 
 1,1100,+59,132.000000 
 1,1100,+60,142.000000 
 1,1100,+61,146.000000 
 1,1100,+62,149.000000 
 1,1100,+63,145.000000 
 1,1100,+64,146.000000 
 1,1100,+65,151.000000 
 1,1100,+66,162.000000 
 1,1100,+67,153.000000 
 1,1100,+68,145.000000 
 1,1100,+69,152.000000 
 1,1100,+70,147.000000 
 1,1100,+71,148.000000 
 1,1100,+72,147.000000 
 1,1100,+73,147.000000 
 1,1100,+74,147.000000 
 1,1100,+75,151.000000 
 1,1100,+76,154.000000 
 1,1400,+6,84.000000 
 1,1400,+7,86.000000 
 1,1400,+8,81.000000 
 1,1400,+9,68.000000 
 1,1400,+10,81.000000 
 1,1400,+11,105.000000 
 1,1400,+12,141.000000 
 1,1400,+13,173.000000 
 1,1400,+14,177.000000 
 1,1400,+15,190.000000 
 1,1400,+16,173.000000 
 1,1400,+17,187.000000 
 1,1400,+18,176.000000 
 1,1400,+19,187.000000 
 1,1400,+20,197.000000 
 1,1400,+21,207.000000 
 1,1400,+22,170.000000 
 1,1400,+23,180.000000 
 1,1400,+24,124.000000 
 1,1400,+25,151.000000 
 1,1400,+26,101.000000 
 1,1400,+27,121.000000 
 1,1400,+28,85.000000 
 1,1400,+29,110.000000 
 1,1400,+30,102.000000 
 1,1400,+31,106.000000 
 1,1400,+32,120.000000 
 1,1400,+33,142.000000 
 1,1400,+34,163.000000 
 1,1400,+35,142.000000 
 1,1400,+36,129.000000 
 1,1400,+37,146.000000 
 1,1400,+38,163.000000 
 1,1400,+39,163.000000 
 1,1400,+40,155.000000 
 1,1400,+41,147.000000 
 1,1400,+42,147.000000 
 1,1400,+43,148.000000 
 1,1400,+44,153.000000 
 1,1400,+45,162.000000 
 1,1400,+46,151.000000 
 1,1400,+47,143.000000 
 1,1400,+48,132.000000 
 1,1400,+49,133.000000 
 1,1400,+50,137.000000 
 1,1400,+51,137.000000 
 1,1400,+52,139.000000 
 1,1400,+53,142.000000 
 1,1400,+54,146.000000 
 1,1400,+55,132.000000 
 1,1400,+56,132.000000 
 1,1400,+57,142.000000 
 1,1400,+58,146.000000 
 1,1400,+59,149.000000 
 1,1400,+60,145.000000 
 1,1400,+61,146.000000 
 1,1400,+62,151.000000 
 1,1400,+63,162.000000 
 1,1400,+64,153.000000 
 1,1400,+65,145.000000 
 1,1400,+66,152.000000 
 1,1400,+67,147.000000 
 1,1400,+68,148.000000 
 1,1400,+69,147.000000 
 1,1400,+70,147.000000 
 1,1400,+71,147.000000 
 1,1400,+72,151.000000 
 1,1400,+73,154.000000 
 1,1700,+6,68.000000 
 1,1700,+7,81.000000 
 1,1700,+8,105.000000 
 1,1700,+9,141.000000 
 1,1700,+10,173.000000 
 1,1700,+11,177.000000 
 1,1700,+12,190.000000 
 1,1700,+13,173.000000 
 1,1700,+14,187.000000 
 1,1700,+15,176.000000 
 1,1700,+16,187.000000 
 1,1700,+17,197.000000 
 1,1700,+18,207.000000 
 1,1700,+19,170.000000 
 1,1700,+20,180.000000 
 1,1700,+21,124.000000 
 1,1700,+22,151.000000 
 1,1700,+23,101.000000 
 1,1700,+24,121.000000 
 1,1700,+25,85.000000 
 1,1700,+26,110.000000 
 1,1700,+27,102.000000 
 1,1700,+28,106.000000 
 1,1700,+29,120.000000 
 1,1700,+30,142.000000 
 1,1700,+31,163.000000 
 1,1700,+32,142.000000 
 1,1700,+33,129.000000 
 1,1700,+34,146.000000 
 1,1700,+35,163.000000 
 1,1700,+36,163.000000 
 1,1700,+37,155.000000 
 1,1700,+38,147.000000 
 1,1700,+39,147.000000 
 1,1700,+40,148.000000 
 1,1700,+41,153.000000 
 1,1700,+42,162.000000 
 1,1700,+43,151.000000 
 1,1700,+44,143.000000 
 1,1700,+45,132.000000 
 1,1700,+46,133.000000 
 1,1700,+47,137.000000 
 1,1700,+48,137.000000 
 1,1700,+49,139.000000 
 1,1700,+50,142.000000 
 1,1700,+51,146.000000 
 1,1700,+52,132.000000 
 1,1700,+53,132.000000 
 1,1700,+54,142.000000 
 1,1700,+55,146.000000 
 1,1700,+56,149.000000 
 1,1700,+57,145.000000 
 1,1700,+58,146.000000 
 1,1700,+59,151.000000 
 1,1700,+60,162.000000 
 1,1700,+61,153.000000 
