 format: day,hour,forecast,value  location:59_76 Start : 20230801 
 1,0200,+6,121.000000 
 1,0200,+7,138.000000 
 1,0200,+8,149.000000 
 1,0200,+9,150.000000 
 1,0200,+10,138.000000 
 1,0200,+11,135.000000 
 1,0200,+12,119.000000 
 1,0200,+13,107.000000 
 1,0200,+14,98.000000 
 1,0200,+15,85.000000 
 1,0200,+16,81.000000 
 1,0200,+17,99.000000 
 1,0200,+18,94.000000 
 1,0200,+19,98.000000 
 1,0200,+20,114.000000 
 1,0200,+21,121.000000 
 1,0200,+22,127.000000 
 1,0200,+23,137.000000 
 1,0200,+24,157.000000 
 1,0200,+25,180.000000 
 1,0200,+26,174.000000 
 1,0200,+27,167.000000 
 1,0200,+28,166.000000 
 1,0200,+29,159.000000 
 1,0200,+30,162.000000 
 1,0200,+31,140.000000 
 1,0200,+32,122.000000 
 1,0200,+33,138.000000 
 1,0200,+34,138.000000 
 1,0200,+35,153.000000 
 1,0200,+36,146.000000 
 1,0200,+37,135.000000 
 1,0200,+38,135.000000 
 1,0200,+39,135.000000 
 1,0200,+40,122.000000 
 1,0200,+41,128.000000 
 1,0200,+42,110.000000 
 1,0200,+43,90.000000 
 1,0200,+44,70.000000 
 1,0200,+45,83.000000 
 1,0200,+46,108.000000 
 1,0200,+47,129.000000 
 1,0200,+48,139.000000 
 1,0200,+49,142.000000 
 1,0200,+50,143.000000 
 1,0200,+51,139.000000 
 1,0200,+52,136.000000 
 1,0200,+53,136.000000 
 1,0200,+54,140.000000 
 1,0200,+55,146.000000 
 1,0200,+56,149.000000 
 1,0200,+57,132.000000 
 1,0200,+58,111.000000 
 1,0200,+59,113.000000 
 1,0200,+60,124.000000 
 1,0200,+61,125.000000 
 1,0500,+6,150.000000 
 1,0500,+7,138.000000 
 1,0500,+8,135.000000 
 1,0500,+9,119.000000 
 1,0500,+10,107.000000 
 1,0500,+11,98.000000 
 1,0500,+12,85.000000 
 1,0500,+13,81.000000 
 1,0500,+14,99.000000 
 1,0500,+15,94.000000 
 1,0500,+16,98.000000 
 1,0500,+17,114.000000 
 1,0500,+18,121.000000 
 1,0500,+19,127.000000 
 1,0500,+20,137.000000 
 1,0500,+21,157.000000 
 1,0500,+22,180.000000 
 1,0500,+23,174.000000 
 1,0500,+24,167.000000 
 1,0500,+25,166.000000 
 1,0500,+26,159.000000 
 1,0500,+27,162.000000 
 1,0500,+28,140.000000 
 1,0500,+29,122.000000 
 1,0500,+30,138.000000 
 1,0500,+31,138.000000 
 1,0500,+32,153.000000 
 1,0500,+33,146.000000 
 1,0500,+34,135.000000 
 1,0500,+35,135.000000 
 1,0500,+36,135.000000 
 1,0500,+37,122.000000 
 1,0500,+38,128.000000 
 1,0500,+39,110.000000 
 1,0500,+40,90.000000 
 1,0500,+41,70.000000 
 1,0500,+42,83.000000 
 1,0500,+43,108.000000 
 1,0500,+44,129.000000 
 1,0500,+45,139.000000 
 1,0500,+46,142.000000 
 1,0500,+47,143.000000 
 1,0500,+48,139.000000 
 1,0500,+49,136.000000 
 1,0500,+50,136.000000 
 1,0500,+51,140.000000 
 1,0500,+52,146.000000 
 1,0500,+53,149.000000 
 1,0500,+54,132.000000 
 1,0500,+55,111.000000 
 1,0500,+56,113.000000 
 1,0500,+57,124.000000 
 1,0500,+58,125.000000 
 1,0800,+6,110.000000 
 1,0800,+7,96.000000 
 1,0800,+8,84.000000 
 1,0800,+9,90.000000 
 1,0800,+10,95.000000 
 1,0800,+11,100.000000 
 1,0800,+12,90.000000 
 1,0800,+13,86.000000 
 1,0800,+14,108.000000 
 1,0800,+15,118.000000 
 1,0800,+16,123.000000 
 1,0800,+17,131.000000 
 1,0800,+18,138.000000 
