 format: day,hour,forecast,value  location:59_76 Start : 20230701 
 1,1100,+34,30.000000 
 1,1100,+35,30.000000 
 1,1100,+36,30.000000 
 1,1100,+37,30.000000 
 1,1100,+38,30.000000 
 1,1100,+39,30.000000 
 1,1100,+40,30.000000 
 1,1100,+41,30.000000 
 1,1100,+42,30.000000 
 1,1100,+43,30.000000 
 1,1100,+44,30.000000 
 1,1100,+45,30.000000 
 1,1100,+46,20.000000 
 1,1100,+47,30.000000 
 1,1100,+48,30.000000 
 1,1100,+49,30.000000 
 1,1100,+50,30.000000 
 1,1100,+51,30.000000 
 1,1100,+52,30.000000 
 1,1100,+53,30.000000 
 1,1100,+54,30.000000 
 1,1100,+55,30.000000 
 1,1100,+56,30.000000 
 1,1100,+57,30.000000 
 1,1100,+58,60.000000 
 1,1100,+59,30.000000 
 1,1100,+60,30.000000 
 1,1100,+61,60.000000 
 1,1100,+62,60.000000 
 1,1100,+63,60.000000 
 1,1100,+64,60.000000 
 1,1100,+65,60.000000 
 1,1100,+66,60.000000 
 1,1100,+67,60.000000 
 1,1100,+68,30.000000 
 1,1100,+69,30.000000 
 1,1100,+70,30.000000 
 1,1100,+71,60.000000 
 1,1100,+72,60.000000 
 1,1100,+73,60.000000 
 1,1100,+74,61.000000 
 1,1100,+75,30.000000 
 1,1100,+76,60.000000 
 1,1400,+6,0.000000 
 1,1400,+7,0.000000 
 1,1400,+8,0.000000 
 1,1400,+9,0.000000 
 1,1400,+10,0.000000 
 1,1400,+11,0.000000 
 1,1400,+12,20.000000 
 1,1400,+13,20.000000 
 1,1400,+14,20.000000 
 1,1400,+15,20.000000 
 1,1400,+16,20.000000 
 1,1400,+17,20.000000 
 1,1400,+18,30.000000 
 1,1400,+19,30.000000 
 1,1400,+20,20.000000 
 1,1400,+21,20.000000 
 1,1400,+22,20.000000 
 1,1400,+23,20.000000 
 1,1400,+24,20.000000 
 1,1400,+25,20.000000 
 1,1400,+26,20.000000 
 1,1400,+27,20.000000 
 1,1400,+28,20.000000 
 1,1400,+29,20.000000 
 1,1400,+30,30.000000 
 1,1400,+31,30.000000 
 1,1400,+32,30.000000 
 1,1400,+33,30.000000 
 1,1400,+34,30.000000 
 1,1400,+35,30.000000 
 1,1400,+36,30.000000 
 1,1400,+37,30.000000 
 1,1400,+38,30.000000 
 1,1400,+39,30.000000 
 1,1400,+40,30.000000 
 1,1400,+41,30.000000 
 1,1400,+42,30.000000 
 1,1400,+43,20.000000 
 1,1400,+44,30.000000 
 1,1400,+45,30.000000 
 1,1400,+46,30.000000 
 1,1400,+47,30.000000 
 1,1400,+48,30.000000 
 1,1400,+49,30.000000 
 1,1400,+50,30.000000 
 1,1400,+51,30.000000 
 1,1400,+52,30.000000 
 1,1400,+53,30.000000 
 1,1400,+54,30.000000 
 1,1400,+55,60.000000 
 1,1400,+56,30.000000 
 1,1400,+57,30.000000 
 1,1400,+58,60.000000 
 1,1400,+59,60.000000 
 1,1400,+60,60.000000 
 1,1400,+61,60.000000 
 1,1400,+62,60.000000 
 1,1400,+63,60.000000 
 1,1400,+64,60.000000 
 1,1400,+65,30.000000 
 1,1400,+66,30.000000 
 1,1400,+67,30.000000 
 1,1400,+68,60.000000 
 1,1400,+69,60.000000 
 1,1400,+70,60.000000 
 1,1400,+71,61.000000 
 1,1400,+72,30.000000 
 1,1400,+73,60.000000 
 1,1700,+6,0.000000 
 1,1700,+7,0.000000 
 1,1700,+8,0.000000 
 1,1700,+9,20.000000 
 1,1700,+10,20.000000 
 1,1700,+11,20.000000 
 1,1700,+12,20.000000 
 1,1700,+13,20.000000 
 1,1700,+14,20.000000 
 1,1700,+15,30.000000 
 1,1700,+16,30.000000 
 1,1700,+17,20.000000 
 1,1700,+18,20.000000 
 1,1700,+19,20.000000 
 1,1700,+20,20.000000 
 1,1700,+21,20.000000 
 1,1700,+22,20.000000 
 1,1700,+23,20.000000 
 1,1700,+24,20.000000 
 1,1700,+25,20.000000 
 1,1700,+26,20.000000 
 1,1700,+27,30.000000 
 1,1700,+28,30.000000 
 1,1700,+29,30.000000 
 1,1700,+30,30.000000 
 1,1700,+31,30.000000 
 1,1700,+32,30.000000 
 1,1700,+33,30.000000 
 1,1700,+34,30.000000 
 1,1700,+35,30.000000 
 1,1700,+36,30.000000 
 1,1700,+37,30.000000 
 1,1700,+38,30.000000 
 1,1700,+39,30.000000 
 1,1700,+40,20.000000 
 1,1700,+41,30.000000 
 1,1700,+42,30.000000 
 1,1700,+43,30.000000 
 1,1700,+44,30.000000 
 1,1700,+45,30.000000 
 1,1700,+46,30.000000 
 1,1700,+47,30.000000 
 1,1700,+48,30.000000 
 1,1700,+49,30.000000 
 1,1700,+50,30.000000 
 1,1700,+51,30.000000 
 1,1700,+52,60.000000 
 1,1700,+53,30.000000 
 1,1700,+54,30.000000 
 1,1700,+55,60.000000 
 1,1700,+56,60.000000 
 1,1700,+57,60.000000 
 1,1700,+58,60.000000 
 1,1700,+59,60.000000 
 1,1700,+60,60.000000 
 1,1700,+61,60.000000 
 1,1700,+62,30.000000 
 1,1700,+63,30.000000 
 1,1700,+64,30.000000 
 1,1700,+65,60.000000 
 1,1700,+66,60.000000 
 1,1700,+67,60.000000 
 1,1700,+68,61.000000 
 1,1700,+69,30.000000 
 1,1700,+70,60.000000 
 1,2000,+6,20.000000 
 1,2000,+7,20.000000 
 1,2000,+8,20.000000 
 1,2000,+9,20.000000 
 1,2000,+10,20.000000 
 1,2000,+11,20.000000 
 1,2000,+12,30.000000 
 1,2000,+13,30.000000 
 1,2000,+14,20.000000 
 1,2000,+15,30.000000 
 1,2000,+16,20.000000 
 1,2000,+17,20.000000 
 1,2000,+18,20.000000 
 1,2000,+19,30.000000 
 1,2000,+20,30.000000 
 1,2000,+21,30.000000 
 1,2000,+22,30.000000 
 1,2000,+23,30.000000 
 1,2000,+24,30.000000 
 1,2000,+25,30.000000 
 1,2000,+26,30.000000 
 1,2000,+27,30.000000 
 1,2000,+28,20.000000 
 1,2000,+29,30.000000 
 1,2000,+30,30.000000 
 1,2000,+31,20.000000 
 1,2000,+32,20.000000 
 1,2000,+33,20.000000 
 1,2000,+34,60.000000 
 1,2000,+35,60.000000 
 1,2000,+36,60.000000 
 1,2000,+37,60.000000 
 1,2000,+38,30.000000 
 1,2000,+39,20.000000 
 1,2000,+40,30.000000 
 1,2000,+41,30.000000 
 1,2000,+42,20.000000 
 1,2000,+43,20.000000 
 1,2000,+44,30.000000 
 1,2000,+45,30.000000 
 1,2000,+46,30.000000 
 1,2000,+47,30.000000 
 1,2000,+48,30.000000 
 1,2000,+49,60.000000 
 1,2000,+50,30.000000 
 1,2000,+51,30.000000 
 1,2000,+52,60.000000 
 1,2000,+53,60.000000 
 1,2000,+54,60.000000 
 1,2000,+55,60.000000 
 1,2000,+56,60.000000 
 1,2000,+57,60.000000 
 1,2000,+58,60.000000 
 1,2000,+59,30.000000 
 1,2000,+60,30.000000 
 1,2000,+61,30.000000 
 1,2000,+62,60.000000 
 1,2000,+63,60.000000 
 1,2000,+64,60.000000 
 1,2000,+65,61.000000 
 1,2000,+66,30.000000 
 1,2000,+67,60.000000 
 1,2300,+6,20.000000 
 1,2300,+7,20.000000 
 1,2300,+8,20.000000 
 1,2300,+9,30.000000 
 1,2300,+10,30.000000 
 1,2300,+11,20.000000 
 1,2300,+12,30.000000 
 1,2300,+13,20.000000 
 1,2300,+14,20.000000 
 1,2300,+15,20.000000 
 1,2300,+16,30.000000 
 1,2300,+17,30.000000 
 1,2300,+18,30.000000 
 1,2300,+19,30.000000 
 1,2300,+20,30.000000 
 1,2300,+21,30.000000 
 1,2300,+22,30.000000 
 1,2300,+23,30.000000 
 1,2300,+24,30.000000 
 1,2300,+25,20.000000 
 1,2300,+26,30.000000 
 1,2300,+27,30.000000 
 1,2300,+28,20.000000 
 1,2300,+29,20.000000 
 1,2300,+30,20.000000 
 1,2300,+31,60.000000 
 1,2300,+32,60.000000 
 1,2300,+33,60.000000 
 1,2300,+34,60.000000 
 1,2300,+35,30.000000 
 1,2300,+36,20.000000 
 1,2300,+37,30.000000 
 1,2300,+38,30.000000 
 1,2300,+39,20.000000 
 1,2300,+40,20.000000 
 1,2300,+41,30.000000 
 1,2300,+42,30.000000 
 1,2300,+43,30.000000 
 1,2300,+44,30.000000 
 1,2300,+45,30.000000 
 1,2300,+46,60.000000 
 1,2300,+47,30.000000 
 1,2300,+48,30.000000 
 1,2300,+49,60.000000 
 1,2300,+50,60.000000 
 1,2300,+51,60.000000 
 1,2300,+52,60.000000 
 1,2300,+53,60.000000 
 1,2300,+54,60.000000 
 1,2300,+55,60.000000 
 1,2300,+56,30.000000 
 1,2300,+57,30.000000 
 1,2300,+58,30.000000 
 1,2300,+59,60.000000 
 1,2300,+60,60.000000 
 1,2300,+61,60.000000 
 1,2300,+62,61.000000 
 1,2300,+63,30.000000 
 1,2300,+64,60.000000 
 Start : 20230702 
 2,0200,+6,30.000000 
 2,0200,+7,30.000000 
 2,0200,+8,20.000000 
 2,0200,+9,30.000000 
 2,0200,+10,20.000000 
 2,0200,+11,20.000000 
 2,0200,+12,20.000000 
 2,0200,+13,30.000000 
 2,0200,+14,30.000000 
