 format: day,hour,forecast,value  location:59_76 Start : 20220801 
 1,0200,+6,196.000000 
 1,0200,+7,173.000000 
 1,0200,+8,176.000000 
 1,0200,+9,170.000000 
 1,0200,+10,172.000000 
 1,0200,+11,178.000000 
 1,0200,+12,180.000000 
 1,0200,+13,182.000000 
 1,0200,+14,188.000000 
 1,0200,+15,191.000000 
 1,0200,+16,194.000000 
 1,0200,+17,190.000000 
 1,0200,+18,187.000000 
 1,0200,+19,187.000000 
 1,0200,+20,193.000000 
 1,0200,+21,198.000000 
 1,0200,+22,197.000000 
 1,0200,+23,197.000000 
 1,0200,+24,206.000000 
 1,0200,+25,221.000000 
 1,0200,+26,229.000000 
 1,0200,+27,237.000000 
 1,0200,+28,240.000000 
 1,0200,+29,239.000000 
 1,0200,+30,238.000000 
 1,0200,+31,237.000000 
 1,0200,+32,228.000000 
 1,0200,+33,211.000000 
 1,0200,+34,203.000000 
 1,0200,+35,193.000000 
 1,0200,+36,193.000000 
 1,0200,+37,193.000000 
 1,0200,+38,197.000000 
 1,0200,+39,193.000000 
 1,0200,+40,213.000000 
 1,0200,+41,225.000000 
 1,0200,+42,229.000000 
 1,0200,+43,227.000000 
 1,0200,+44,222.000000 
 1,0200,+45,227.000000 
 1,0200,+46,237.000000 
 1,0200,+47,246.000000 
 1,0200,+48,252.000000 
 1,0200,+49,258.000000 
 1,0200,+50,260.000000 
 1,0200,+51,258.000000 
 1,0200,+52,260.000000 
 1,0200,+53,260.000000 
 1,0200,+54,259.000000 
 1,0200,+55,260.000000 
 1,0200,+56,255.000000 
 1,0200,+57,239.000000 
 1,0200,+58,229.000000 
 1,0200,+59,218.000000 
 1,0200,+60,219.000000 
 1,0200,+61,233.000000 
 1,0500,+6,170.000000 
 1,0500,+7,172.000000 
 1,0500,+8,178.000000 
 1,0500,+9,180.000000 
 1,0500,+10,182.000000 
 1,0500,+11,188.000000 
 1,0500,+12,191.000000 
 1,0500,+13,194.000000 
 1,0500,+14,190.000000 
 1,0500,+15,187.000000 
 1,0500,+16,187.000000 
 1,0500,+17,193.000000 
 1,0500,+18,198.000000 
 1,0500,+19,197.000000 
 1,0500,+20,197.000000 
 1,0500,+21,206.000000 
 1,0500,+22,221.000000 
 1,0500,+23,229.000000 
 1,0500,+24,237.000000 
 1,0500,+25,240.000000 
 1,0500,+26,239.000000 
 1,0500,+27,238.000000 
 1,0500,+28,237.000000 
 1,0500,+29,228.000000 
 1,0500,+30,211.000000 
 1,0500,+31,203.000000 
 1,0500,+32,193.000000 
 1,0500,+33,193.000000 
 1,0500,+34,193.000000 
 1,0500,+35,197.000000 
 1,0500,+36,193.000000 
 1,0500,+37,213.000000 
 1,0500,+38,225.000000 
 1,0500,+39,229.000000 
 1,0500,+40,227.000000 
 1,0500,+41,222.000000 
 1,0500,+42,227.000000 
 1,0500,+43,237.000000 
 1,0500,+44,246.000000 
 1,0500,+45,252.000000 
 1,0500,+46,258.000000 
 1,0500,+47,260.000000 
 1,0500,+48,258.000000 
 1,0500,+49,260.000000 
 1,0500,+50,260.000000 
 1,0500,+51,259.000000 
 1,0500,+52,260.000000 
 1,0500,+53,255.000000 
 1,0500,+54,239.000000 
 1,0500,+55,229.000000 
 1,0500,+56,218.000000 
 1,0500,+57,219.000000 
 1,0500,+58,233.000000 
